ideal_mdot [kg/s],ideal_is_choked [-],ideal_tank.mass [kg],ideal_tank.volume [m^3],ideal_tank.inenergy [J],ideal_tank.pressure [Pa],ideal_tank.temperature [degK],ideal_tank.density [kg/m^3],ideal_tank.sp_inenergy [J/kg],ideal_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.025951493096193483,1.0,0.021061478542748695,0.0037854117839999993,2670.4232312199833,459609.88706347195,39.386470194774695,5.563854012335029,126791.82165676539,209398.2103298901,101325.0,1.367
0.025908180754285,1.0,0.02103557036199441,0.0037854117839999993,2664.998104537133,458649.0917212608,39.353453643371424,5.557009795052303,126690.08059567826,209225.3124265849,101325.0,1.368
0.02586496054572925,1.0,0.02100970540144868,0.0037854117839999993,2659.5865000860513,457690.74836639105,39.32047998457559,5.550176995340776,126588.47181658554,209052.64345482521,101325.0,1.369
0.02582183223037782,1.0,0.020983883569218303,0.0037854117839999993,2654.188377799444,456734.84956379497,39.28754914141234,5.543355588924829,126486.99508097388,208880.20299213767,101325.0,1.37
0.025778795568828367,1.0,0.020958104773649476,0.0037854117839999993,2648.8036977481343,455781.38790465676,39.2546610370856,5.5365455515920905,126385.65015088876,208707.99061706485,101325.0,1.371
0.02573585032242195,1.0,0.020932368923327054,0.0037854117839999993,2643.43242014052,454830.3560063067,39.22181559497762,5.529746859193234,126284.43678893297,208536.00590916292,101325.0,1.372
0.025692996253240254,1.0,0.020906675927073813,0.0037854117839999993,2638.0745053220303,453881.74651211564,39.18901273864846,5.522959487641786,126183.35475826483,208364.248448998,101325.0,1.373
0.025650233124102986,1.0,0.02088102569394971,0.0037854117839999993,2632.729913774585,452935.55209138873,39.15625239183545,5.516183412913927,126082.4038225967,208192.7178181433,101325.0,1.374
0.0256075606985652,1.0,0.020855418133251147,0.0037854117839999993,2627.3986061160576,451991.7654392612,39.12353447845266,5.509418611048301,125981.5837461933,208021.41359917642,101325.0,1.375
0.025564978740914557,1.0,0.020829853154510233,0.0037854117839999993,2622.0805430997398,451050.37927659473,39.090858922590485,5.502665058145821,125880.89429387012,207850.33537567582,101325.0,1.3760000000000001
