real_mdot [kg/s],real_is_choked [-],real_tank.mass [kg],real_tank.volume [m^3],real_tank.inenergy [J],real_tank.pressure [Pa],real_tank.temperature [degK],real_tank.density [kg/m^3],real_tank.sp_inenergy [J/kg],real_tank.sp_enthalpy [J/kg],atmospheric.pressure [Pa],time [s]
0.104280606484339,1.0,0.05814340817328875,0.0037854117839999993,14551.047680846936,2645626.6433789963,79.35713188428336,15.359863468235234,250261.34755429986,422504.1965125767,101325.0,0.682
0.10402118069531166,1.0,0.05803938699259344,0.0037854117839999993,14507.098295476973,2637325.40929259,79.25758413232231,15.332383979442236,249952.6450430681,421962.77815927076,101325.0,0.683
0.10376259802138624,1.0,0.057935624394572054,0.0037854117839999993,14463.314341346846,2629056.6800341085,79.15823785317393,15.304972800964912,249644.57520720022,421422.51393495523,101325.0,0.684
0.10350485502762903,1.0,0.057832119539544424,0.0037854117839999993,14419.69506513663,2620820.3012783877,79.05909246391607,15.27762971098323,249337.13617874123,420883.40028241015,101325.0,0.685
0.10324794829611403,1.0,0.05772887159124831,0.0037854117839999993,14376.239717585579,2612616.1195685435,78.96014738386401,15.250354488580077,249030.32609708962,420345.43365901214,101325.0,0.686
0.10299187442582183,1.0,0.05762587971682249,0.0037854117839999993,14332.947553466702,2604443.982310294,78.86140203455957,15.223146913736796,248724.1431089605,419808.6105366604,101325.0,0.687
0.1027366300325424,1.0,0.05752314308678995,0.0037854117839999993,14289.81783156152,2596303.7377663148,78.76285583976029,15.19600676732874,248418.58536834965,419272.9274017015,101325.0,0.6880000000000001
0.10248221174877463,1.0,0.05742066087504118,0.0037854117839999993,14246.84981463501,2588195.235050648,78.6645082254288,15.168933831120865,248113.65103649712,418738.3807548547,101325.0,0.6890000000000001
0.1022286162236293,1.0,0.057318432258817546,0.0037854117839999993,14204.042769410718,2580118.324123151,78.5663586197223,15.141927887763336,247809.3382818517,418204.96711113874,101325.0,0.6900000000000001
0.10197584012273256,1.0,0.057216456418694814,0.0037854117839999993,14161.39596654606,2572072.855783982,78.46840645298188,15.114988720787165,247505.645280035,417672.68299979815,101325.0,0.6910000000000001
0.10172388012812858,1.0,0.057114732538566686,0.0037854117839999993,14118.908680607796,2564058.68166813,78.37065115772214,15.088116114599885,247202.57021380626,417141.5249642302,101325.0,0.6920000000000001
0.10147273293818403,1.0,0.057013259805628505,0.0037854117839999993,14076.580190047674,2556075.654239981,78.27309216862058,15.061309854481214,246900.11127302697,416611.48956191255,101325.0,0.6930000000000001
0.10122239526749323,1.0,0.056912037410361015,0.0037854117839999993,14034.40977717826,2548123.6267879372,78.17572892250753,15.034569726578795,246598.26665462606,416082.57336433174,101325.0,0.6940000000000001
0.10097286384678335,1.0,0.05681106454651423,0.0037854117839999993,13992.396728148924,2540202.453419054,78.07856085835549,15.00789551790391,246297.03456256495,415554.77295691066,101325.0,0.6950000000000001
0.10072413542282004,1.0,0.05671034041109141,0.0037854117839999993,13950.540332922013,2532311.989053744,77.98158741726915,14.981287016327263,245996.41320780304,415028.084938938,101325.0,0.6960000000000001
0.1004762067583154,1.0,0.056609864204333095,0.0037854117839999993,13908.839885249181,2524452.089420497,77.88480804247511,14.954744010574757,245696.40080826328,414502.5059234971,101325.0,0.6970000000000001
