Sump.upstream_presure [Pa],Sump.dp [dPa],Sump.velocity [m/s],Ball Valve.upstream_presure [Pa],Ball Valve.dp [dPa],Ball Valve.velocity [m/s],Outlet pipe.upstream_presure [Pa],Outlet pipe.dp [dPa],Outlet pipe.velocity [m/s],Injector Flex Pipe.upstream_presure [Pa],Injector Flex Pipe.dp [dPa],Injector Flex Pipe.velocity [m/s],Injector.upstream_presure [Pa],Injector.dp [dPa],Injector.velocity [m/s],System Pressure Drop [dPa],System Outlet Pressure [Pa],mdot [kg/s]
1378951.4586336727,0.021500422453485383,0.0047810905829194505,1378951.4371332503,220.61294924641928,0.48430502542992,1378730.8241840038,776.6696329950103,0.6078655636564662,1377954.1545510087,82.77895188429206,0.4260703484258728,1377871.3755991245,5849.96846075429,2.493908348076701,6930.051495302466,1372021.4071383702,0.048259237000000094
1378951.4586336727,0.02158961863542869,0.00479099768232701,1378951.437044054,221.52817929843505,0.48530857429549995,1378729.9088647556,779.4199179197456,0.6091251481210916,1377950.488946836,84.61365994895989,0.4269532284387007,1377865.875286887,5874.23754647905,2.4990760954592934,6959.820893264826,1371991.6377404078,0.048359237000000097
1378951.4586336727,0.021678999453245976,0.004800904781734569,1378951.4369546731,222.44530387437607,0.4863121231610845,1378728.9916507988,782.1743605301208,0.6103847325894238,1377946.8172902688,86.46255704198626,0.42783610846124115,1377860.3547332268,5898.556869493675,2.504243842957139,6989.660769939611,1371961.797863733,0.0484592370000001
1378951.4586336727,0.021768564906937234,0.004810811881142129,1378951.4368651079,223.36432297423855,0.4873156720266656,1378728.0725421335,784.9329589155228,0.611644317061476,1377943.139583218,88.32568841603465,0.42871898849350737,1377854.813894802,5922.9264298009075,2.509411590570689,7019.57116867161,1371931.887465001,0.0485592370000001
1378951.4586336727,0.021858314996502454,0.004820718980549687,1378951.4367753577,224.2852365980258,0.48831922089225027,1378727.1515387597,787.695711170615,0.6129039015372553,1377939.4558275891,90.20309932384849,0.42960186853552007,1377849.2527282652,5947.346227403456,2.5145793383003725,7049.552132810943,1371901.9065008617,0.048659237000000105
1378951.4586336727,0.021948249721941652,0.004830626079957247,1378951.436685423,225.20804474573572,0.4893227697578341,1378726.2286406772,790.4626153953136,0.6141634860167662,1377935.766025282,92.09483501809045,0.4304847485872905,1377843.6711902637,5971.816262304146,2.51974708614667,7079.603705713008,1371871.8549279596,0.04875923700000011
1378951.4586336727,0.022038369083254822,0.004840533179364806,1378951.4365953037,226.13274741736902,0.4903263186234184,1378725.3038478862,793.2336696947507,0.6154230705000194,1377932.0701781914,94.0009407515153,0.4313676286488391,1377838.06923744,5996.336534505753,2.524914834110031,7109.725930738471,1371841.7327029342,0.04885923700000011
1378951.4586336727,0.022128673080441957,0.004850440278772365,1378951.4365049996,227.0593446129249,0.4913298674890015,1378724.3771603866,796.0088721792605,0.6166826549870209,1377928.3682882073,95.92146177684438,0.4322505087201811,1377832.4468264305,6020.907044011043,2.530082582190902,7139.918851253153,1371811.5397824196,0.048959237000000114
1378951.4586336727,0.022219161713503056,0.004860347378179924,1378951.436414511,227.98783633240535,0.49233341635458777,1378723.4485781786,798.7882209643519,0.6179422394777764,1377924.6603572143,97.85644334678007,0.43313338880132995,1377826.8039138673,6045.527790822871,2.535250330389763,7170.182510628121,1371781.2761230445,0.04905923700000012
1378951.4586336727,0.022309834982438135,0.0048702544775874835,1378951.4363238376,228.9182225758082,0.4933369652201724,1378722.518101262,801.5717141706739,0.6192018239722993,1377920.9463870912,99.8059307141213,0.43401626889230693,1377821.140456377,6070.1987749439995,2.5404180787070483,7200.516952239585,1371750.941681433,0.04915923700000012
1378951.4586336727,0.022400692887247185,0.004880161576995043,1378951.4362329799,229.850503343135,0.4943405140857589,1378721.5857296367,804.3593499240064,0.620461408470595,1377917.2263797126,101.76996913157744,0.4348991489931248,1377815.456410581,6094.919996377267,2.545585827143223,7230.922219468874,1371720.5364142037,0.04925923700000012
1378951.4586336727,0.0224917354279302,0.0048900686764026015,1378951.4361419373,230.78467863438325,0.4953440629513421,1378720.6514633028,807.1511263552312,0.6217209929726658,1377913.5003369476,103.74860385191425,0.4357820291037996,1377809.7517330956,6119.691455125527,2.550753575698753,7261.398355702484,1371690.0602779703,0.049359237000000125
1378951.4586336727,0.02258296260448718,0.004899975775810161,1378951.43605071,231.72074844955628,0.49634761181692855,1378719.7153022606,809.9470416002935,0.6229805774785285,1377909.76826066,105.741880127894,0.43666490922434736,1377804.0263805324,6144.5131511916225,2.555921324374098,7291.945404331971,1371659.5132293408,0.04945923700000013
1378951.4586336727,0.022674374416918143,0.00490988287521772,1378951.4359592982,232.6587127886527,0.49735116068251556,1378718.7772465097,812.7470938002037,0.6242401619881808,1377906.0301527095,107.74984321232861,0.4375477893547877,1377798.2803094971,6169.385084578448,2.561089073169734,7322.56340875405,1371628.8952249186,0.04955923700000013
1378951.4586336727,0.022765970865223074,0.00491978997462528,1378951.435867702,233.59857165167193,0.49835470954810196,1378717.83729605,815.5512811009863,0.6254997465016386,1377902.2860149492,109.77253835798255,0.43843066949513504,1377792.513476591,6194.307255288832,2.566256822086106,7353.252412370338,1371598.2062213023,0.049659237000000134
1378951.4586336727,0.022857751949401966,0.004929697074032838,1378951.4357759207,234.5403250386142,0.49935825841368814,1378716.8954508821,818.3596016536757,0.6267593310189088,1377898.5358492285,111.8100108176241,0.43931354964540265,1377786.725838411,6219.279663325662,2.5714245711236803,7384.0124585875255,1371567.4461750851,0.04975923700000014
1378951.4586336727,0.022949717669454833,0.004939604173440398,1378951.435683955,235.4839729494794,0.5003618072792742,1378715.9517110055,821.1720536142913,0.6280189155399926,1377894.7796573911,113.86230584410897,0.44019642980561186,1377780.9173515472,6244.302308691855,2.5765923202829297,7414.843590817403,1371536.6150428553,0.04985923700000014
1378951.4586336727,0.023041868025381676,0.004949511272847957,1378951.4355918046,236.42951538426914,0.5013653561448629,1378715.0060764204,823.9886351437973,0.6292785000649018,1377891.0174412767,115.92946869019352,0.44107930997577377,1377775.0879725865,6269.3751913903225,2.5817600695643246,7445.745852476608,1371505.712781196,0.04995923700000014
1378951.4586336727,0.023134203017182484,0.004959418372255516,1378951.4354994697,237.37695234298124,0.5023689050104502,1378714.0585471266,826.8093444080964,0.6305380845936477,1377887.2492027185,118.01154460875483,0.4419621901559098,1377769.2376581097,6294.498311423981,2.5869278189683307,7476.71928698683,1371474.7393466858,0.050059237000000145
1378951.4586336727,0.023226722644857256,0.004969325471663075,1378951.43540695,238.32628382561688,0.5033724538760384,1378713.1091231245,829.6341795780031,0.6317976691262341,1377883.4749435463,120.1085788525984,0.44284507034603426,1377763.3663646937,6319.671668795729,2.5920955684954037,7507.763937774592,1371443.694695898,0.05015923700000015
1378951.4586336727,0.023319426908406007,0.0049792325710706345,1378951.4353142458,239.27750983217496,0.5043760027416251,1378712.1578044137,832.4631388292216,0.6330572536626651,1377879.6946655845,122.22061667454079,0.443727950546161,1377757.4740489097,6344.895263508503,2.597263318146011,7538.879848271349,1371412.5787854013,0.05025923700000015
1378951.4586336727,0.023412315807828727,0.004989139670478194,1378951.4352213568,240.2306303626569,0.5053795516072133,1378711.2045909942,835.2962203423094,0.6343168382029549,1377875.908370652,124.34770332744178,0.4446108307563079,1377751.5606673246,6370.169095565326,2.6024310679206515,7570.067061913542,1371381.3915717592,0.050359237000000154
1378951.4586336727,0.023505389343125415,0.004999046769885752,1378951.4351282832,241.185645417063,0.5063831004728037,1378710.2494828664,838.1334223026756,0.6355764227471083,1377872.1160605636,126.48988406418596,0.4454937109764935,1377745.6261764993,6395.493164969062,2.607598817819756,7601.325622142329,1371350.1330115304,0.05045923700000016
1378951.4586336727,0.023598647514296075,0.005008953869293312,1378951.4350350252,242.14255499539215,0.5073866493383938,1378709.2924800299,840.9747429005432,0.6368360072951333,1377868.3177371293,128.64720413757627,0.44637659120672835,1377739.6705329916,6420.867471722799,2.612766567843842,7632.655572403824,1371318.8030612688,0.05055923700000016
1378951.4586336727,0.02369209032134071,0.005018860968700871,1378951.4349415824,243.10135909764358,0.5083901982039826,1378708.3335824846,843.8201803309357,0.6380955918470371,1377864.5134021537,130.819708800547,0.4472594714470346,1377733.6936933533,6446.2920158294555,2.617934317993354,7664.056956148903,1371287.4016775237,0.05065923700000016
1378951.4586336727,0.02378571776425931,0.005028768068108431,1378951.434847955,244.0620577238179,0.5093937470695705,1378707.3727902311,846.6697327936467,0.639355176402827,1377860.7030574374,133.00744330595623,0.44814235169742594,1377727.6956141314,6471.766797291995,2.6231020682687536,7695.529816833181,1371255.9288168396,0.050759237000000165
1378951.4586336727,0.023879529843051875,0.005038675167515989,1378951.4347541428,245.02465087391639,0.5103972959351606,1378706.410103269,849.523398493228,0.6406147609625121,1377856.8867047757,135.2104529066912,0.44902523195791816,1377721.676251869,6497.291816113554,2.6282698186705655,7727.074197917233,1371224.3844357554,0.05085923700000017
1378951.4586336727,0.02397352655771842,0.005048582266923549,1378951.434660146,245.9891385479379,0.5114008448007505,1378705.4455215982,852.3811756389556,0.6418743455261006,1377853.0643459593,137.4287828556497,0.4499081122285278,1377715.6355631035,6522.867072297032,2.6334375691992173,7758.690142866133,1371192.7684908065,0.05095923700000017
1378951.4586336727,0.02406770790825893,0.005058489366331108,1378951.4345659649,246.95552074588252,0.5124043936663405,1378704.4790452188,855.2430624448185,0.6431339300935978,1377849.235982774,139.6624784057481,0.4507909925092709,1377709.5735043683,6548.492565845512,2.6386053198552055,7790.377695149869,1371161.0809385227,0.051059237000000174
1378951.4586336727,0.024162073894673418,0.005068396465738667,1378951.4344715988,247.92379746775183,0.5134079425319336,1378703.510674131,858.1090571294897,0.6443935146650149,1377845.4016170015,141.91158480987298,0.45167387280016164,1377703.4900321916,6574.168296762032,2.643773070639003,7822.136898243041,1371129.3217354296,0.05115923700000018
