isothermal_mdot [kg/s],isothermal_tank.mass [kg],isothermal_tank.volume [m^3],isothermal_tank.inenergy [J],isothermal_tank.pressure [Pa],isothermal_tank.temperature [degK],isothermal_tank.density [kg/m^3],isothermal_tank.sp_inenergy [J/kg],isothermal_tank.sp_enthalpy [J/kg],time [s]
-0.007952451914167893,0.027081032599992304,0.0037854117839999993,5747.98254661531,610817.7628913665,288.14999999999515,7.154051961917892,212251.23249609556,297631.9043367356,8.219
-0.007950113744541491,0.027073082486247752,0.0037854117839999993,5746.30561945033,610638.7307565511,288.14999999999515,7.151951764053513,212251.6201237619,297632.33169758995,8.22
-0.007947776264625745,0.027065134709983132,0.0037854117839999993,5744.629179181851,610459.7511035533,288.14999999999515,7.149852183686005,212252.00763781572,297632.7589345331,8.221
-0.00794543947421578,0.02705718927050892,0.0037854117839999993,5742.9532256698485,610280.8239169747,288.14999999999503,7.1477532206332155,212252.39503829027,297633.1860476004,8.222
-0.007943103373106756,0.027049246167135804,0.0037854117839999993,5741.277758774336,610101.9491814224,288.149999999995,7.145654874713046,212252.78232521884,297633.6130368275,8.223
-0.007940767961093921,0.027041305399174716,0.0037854117839999993,5739.602778355377,609923.1268815084,288.149999999995,7.143557145743466,212253.16949863473,297634.0399022497,8.224
-0.007938433237972565,0.027033366965936747,0.0037854117839999993,5737.928284273067,609744.3570018482,288.149999999995,7.141460033542484,212253.55655857126,297634.46664390294,8.225
-0.00793609920353803,0.0270254308667332,0.0037854117839999993,5736.254276387539,609565.6395270622,288.149999999995,7.139363537928165,212253.9435050617,297634.89326182246,8.226
-0.007933765857585753,0.02701749710087562,0.0037854117839999993,5734.580754558973,609386.9744417758,288.149999999995,7.137267658718638,212254.33033813926,297635.3197560438,8.227
-0.007931433199911202,0.027009565667675713,0.0037854117839999993,5732.907718647582,609208.3617306185,288.1499999999949,7.135172395732077,212254.7170578372,297635.7461266024,8.228
-0.007929101230309927,0.027001636566445393,0.0037854117839999993,5731.235168513616,609029.8013782243,288.1499999999949,7.133077748786708,212255.10366418873,297636.1723735336,8.229000000000001
-0.007926769948577514,0.02699370979649682,0.0037854117839999993,5729.563104017377,608851.2933692321,288.1499999999949,7.130983717700824,212255.49015722712,297636.59849687305,8.23
-0.007924439354509653,0.026985785357142317,0.0037854117839999993,5727.891525019193,608672.8376882848,288.1499999999949,7.128890302292756,212255.87653698557,297637.024496656,8.231
-0.007922109447902052,0.02697786324769442,0.0037854117839999993,5726.220431379438,608494.4343200303,288.1499999999949,7.126797502380899,212256.26280349732,297637.45037291804,8.232
-0.007919780228550504,0.026969943467465857,0.0037854117839999993,5724.549822958521,608316.0832491203,288.149999999995,7.124705317783695,212256.6489567955,297637.87612569454,8.233
-0.007917451696250861,0.02696202601576961,0.0037854117839999993,5722.879699616898,608137.7844602119,288.1499999999949,7.122613748319651,212257.0349969133,297638.3017550208,8.234
-0.007915123850799035,0.026954110891918816,0.0037854117839999993,5721.210061215058,607959.5379379664,288.149999999995,7.120522793807317,212257.42092388397,297638.7272609325,8.235
-0.007912796691990999,0.026946198095226817,0.0037854117839999993,5719.540907613528,607781.3436670493,288.1499999999951,7.1184324540652995,212257.80673774064,297639.1526434648,8.236
-0.007910470219622778,0.026938287625007197,0.0037854117839999993,5717.872238672886,607603.2016321312,288.14999999999515,7.116342728912264,212258.19243851653,297639.5779026531,8.237
-0.007908144433490484,0.02693037948057371,0.0037854117839999993,5716.204054253733,607425.1118178865,288.1499999999952,7.114253618166925,212258.57802624468,297640.00303853274,8.238
-0.007905819333390268,0.02692247366124031,0.0037854117839999993,5714.536354216717,607247.0742089943,288.14999999999515,7.112165121648048,212258.96350095826,297640.4280511393,8.239
-0.007903494919118332,0.0269145701663212,0.0037854117839999993,5712.869138422531,607069.0887901391,288.1499999999952,7.110077239174465,212259.3488626904,297640.8529405079,8.24
-0.007901171190470986,0.026906668995130733,0.0037854117839999993,5711.202406731895,606891.1555460084,288.1499999999951,7.107989970565046,212259.73411147416,297641.2777066738,8.241
-0.007898848147244555,0.02689877014698348,0.0037854117839999993,5709.536159005576,606713.2744612953,288.14999999999503,7.105903315638721,212260.11924734272,297641.7023496723,8.242
-0.007896525789235435,0.026890873621194248,0.0037854117839999993,5707.870395104386,606535.4455206976,288.1499999999951,7.103817274214481,212260.50427032926,297642.1268695392,8.243
-0.00789420411624011,0.026882979417078012,0.0037854117839999993,5706.205114889166,606357.6687089169,288.14999999999515,7.1017318461113605,212260.8891804668,297642.5512663097,8.244
-0.007891883128055102,0.02687508753394995,0.0037854117839999993,5704.5403182207965,606179.9440106587,288.1499999999951,7.099647031148449,212261.27397778843,297642.97554001876,8.245000000000001
-0.00788956282447698,0.026867197971125478,0.0037854117839999993,5702.876004960204,606002.2714106351,288.14999999999515,7.0975628291449,212261.65866232713,297643.3996907017,8.246
-0.007887243205302416,0.02685931072792018,0.0037854117839999993,5701.212174968353,605824.6508935606,288.14999999999515,7.095479239919909,212262.04323411614,297643.82371839415,8.247
-0.00788492427032811,0.026851425803649857,0.0037854117839999993,5699.548828106239,605647.0824441552,288.1499999999951,7.093396263292728,212262.42769318834,297644.24762313097,8.248
-0.007882606019350836,0.026843543197630496,0.0037854117839999993,5697.885964234902,605469.5660471428,288.1499999999951,7.091313899082664,212262.81203957676,297644.6714049475,8.249
-0.007880288452167419,0.026835662909178333,0.0037854117839999993,5696.22358321543,605292.1016872532,288.1499999999951,7.089232147109081,212263.19627331465,297645.0950638795,8.25
-0.007877971568574763,0.02682778493760976,0.0037854117839999993,5694.561684908937,605114.6893492192,288.1499999999951,7.087151007191393,212263.58039443483,297645.5185999614,8.251
-0.007875655368369821,0.026819909282241382,0.0037854117839999993,5692.90026917658,604937.329017778,288.1499999999951,7.085070479149063,212263.9644029704,297645.9420132291,8.252
-0.007873339851349602,0.026812035942390035,0.0037854117839999993,5691.239335879562,604760.0206776732,288.14999999999515,7.082990562801619,212264.34829895437,297646.3653037176,8.253
-0.007871025017311203,0.026804164917372728,0.0037854117839999993,5689.578884879116,604582.7643136506,288.14999999999515,7.080911257968634,212264.73208241974,297646.7884714621,8.254
-0.00786871086605174,0.026796296206506667,0.0037854117839999993,5687.918916036515,604405.5599104617,288.14999999999526,7.078832564469734,212265.1157533994,297647.21151649766,8.255
-0.007866397397368429,0.026788429809109303,0.0037854117839999993,5686.259429213081,604228.4074528625,288.14999999999526,7.076754482124608,212265.49931192645,297647.6344388598,8.256
-0.007864084611058522,0.02678056572449825,0.0037854117839999993,5684.600424270163,604051.3069256129,288.14999999999526,7.074677010752987,212265.88275803375,297648.0572385834,8.257
-0.007861772506919353,0.02677270395199132,0.0037854117839999993,5682.941901069151,603874.2583134775,288.14999999999526,7.07260015017466,212266.26609175428,297648.4799157037,8.258000000000001
-0.007859461084748292,0.02676484449090658,0.0037854117839999993,5681.283859471485,603697.2616012262,288.1499999999952,7.070523900209475,212266.649313121,297648.90247025585,8.259
-0.007857150344342792,0.02675698734056224,0.0037854117839999993,5679.62629933863,603520.3167736321,288.14999999999515,7.068448260677324,212267.03242216673,297649.3249022751,8.26
-0.00785484028550036,0.02674913250027673,0.0037854117839999993,5677.9692205321,603343.4238154736,288.14999999999515,7.066373231398155,212267.41541892465,297649.7472117966,8.261000000000001
-0.007852530908018553,0.026741279969368717,0.0037854117839999993,5676.312622913445,603166.5827115335,288.14999999999515,7.064298812191979,212267.79830342752,297650.1693988553,8.262
-0.007850222211695011,0.026733429747157027,0.0037854117839999993,5674.656506344253,602989.7934465992,288.14999999999515,7.06222500287885,212268.18107570824,297650.5914634866,8.263
-0.00784791419632742,0.026725581832960702,0.0037854117839999993,5673.000870686151,602813.0560054618,288.14999999999526,7.060151803278876,212268.56373579975,297651.01340572536,8.264
-0.007845606861713532,0.02671773622609898,0.0037854117839999993,5671.345715800804,602636.3703729173,288.14999999999526,7.05807921321222,212268.946283735,297651.435225607,8.265
-0.007843300207651147,0.02670989292589133,0.0037854117839999993,5669.6910415499215,602459.7365337667,288.1499999999952,7.056007232499104,212269.32871954667,297651.85692316626,8.266
-0.007840994233938149,0.026702051931657398,0.0037854117839999993,5668.036847795244,602283.154472815,288.14999999999515,7.053935860959798,212269.71104326771,297652.27849843836,8.267
-0.007838688940372466,0.026694213242717015,0.0037854117839999993,5666.383134398558,602106.6241748716,288.14999999999526,7.051865098414619,212270.0932549311,297652.6999514584,8.268
-0.007836384326752089,0.026686376858390266,0.0037854117839999993,5664.729901221689,601930.1456247506,288.1499999999952,7.049794944683955,212270.47535456964,297653.12128226156,8.269
-0.007834080392875082,0.026678542777997395,0.0037854117839999993,5663.077148126492,601753.7188072705,288.1499999999952,7.047725399588232,212270.85734221598,297653.5424908825,8.27
-0.007831777138539558,0.026670711000858847,0.0037854117839999993,5661.424874974872,601577.3437072537,288.1499999999952,7.04565646294793,212271.23921790326,297653.96357735683,8.271
-0.007829474563543687,0.02666288152629531,0.0037854117839999993,5659.773081628769,601401.0203095285,288.14999999999515,7.043588134583594,212271.62098166402,297654.38454171905,8.272
-0.00782717266768571,0.026655054353627628,0.0037854117839999993,5658.121767950164,601224.7485989264,288.1499999999952,7.041520414315811,212272.00263353132,297654.80538400466,8.273
-0.007824871450763927,0.026647229482176855,0.0037854117839999993,5656.470933801065,601048.5285602829,288.1499999999951,7.039453301965222,212272.3841735377,297655.22610424826,8.274000000000001
-0.007822570912576694,0.026639406911264284,0.0037854117839999993,5654.820579043539,600872.3601784402,288.14999999999515,7.03738679735253,212272.7656017161,297655.64670248504,8.275
-0.00782027105292244,0.026631586640211365,0.0037854117839999993,5653.170703539679,600696.2434382432,288.1499999999952,7.035320900298484,212273.14691809937,297656.06717875006,8.276
-0.007817971871599633,0.026623768668339758,0.0037854117839999993,5651.521307151615,600520.1783245406,288.1499999999951,7.0332556106238835,212273.52812272013,297656.4875330783,8.277000000000001
-0.007815673368406821,0.026615952994971354,0.0037854117839999993,5649.872389741524,600344.1648221874,288.149999999995,7.031190928149591,212273.9092156112,297656.90776550455,8.278
-0.007813375543142603,0.026608139619428216,0.0037854117839999993,5648.223951171617,600168.2029160425,288.149999999995,7.029126852696516,212274.29019680526,297657.3278760637,8.279
-0.007811078395605656,0.026600328541032614,0.0037854117839999993,5646.575991304148,599992.2925909689,288.14999999999503,7.0270633840856185,212274.6710663353,297657.7478647912,8.28
-0.007808781925594684,0.02659251975910701,0.0037854117839999993,5644.928510001403,599816.4338318332,288.14999999999503,7.025000522137915,212275.05182423384,297658.1677317218,8.281
-0.007806486132908474,0.026584713272974105,0.0037854117839999993,5643.281507125715,599640.6266235086,288.1499999999951,7.02293826667448,212275.43247053368,297658.58747689024,8.282
-0.007804191017345892,0.026576909081956764,0.0037854117839999993,5641.634982539448,599464.8709508709,288.14999999999503,7.020876617516434,212275.81300526744,297659.0071003315,8.283
-0.007801896578705824,0.026569107185378048,0.0037854117839999993,5639.988936105007,599289.1667988009,288.1499999999951,7.0188155744849485,212276.19342846793,297659.4266020806,8.284
-0.007799602816787233,0.026561307582561266,0.0037854117839999993,5638.343367684845,599113.5141521847,288.14999999999515,7.016755137401261,212276.57374016783,297659.84598217247,8.285
-0.007797309731389165,0.026553510272829883,0.0037854117839999993,5636.698277141443,598937.9129959117,288.1499999999952,7.014695306086649,212276.95394039984,297660.26524064183,8.286
-0.007795017322310691,0.026545715255507564,0.0037854117839999993,5635.053664337316,598762.3633148755,288.1499999999952,7.012636080362444,212277.3340291965,297660.6843775237,8.287
-0.007792725589350967,0.02653792252991822,0.0037854117839999993,5633.409529135035,598586.8650939754,288.1499999999951,7.010577460050044,212277.7140065905,297661.1033928529,8.288
-0.007790434532309199,0.026530132095385912,0.0037854117839999993,5631.765871397198,598411.418318115,288.14999999999515,7.008519444970882,212278.09387261467,297661.5222866643,8.289
-0.007788144150984655,0.026522343951234918,0.0037854117839999993,5630.122690986444,598236.022972201,288.14999999999526,7.006462034946453,212278.4736273016,297661.94105899293,8.290000000000001
-0.007785854445176671,0.026514558096789743,0.0037854117839999993,5628.479987765453,598060.6790411462,288.14999999999526,7.0044052297983095,212278.85327068387,297662.35970987356,8.291
-0.007783565414684634,0.026506774531375062,0.0037854117839999993,5626.837761596939,597885.3865098661,288.14999999999515,7.002349029348049,212279.23280279405,297662.77823934075,8.292
-0.007781277059307985,0.026498993254315744,0.0037854117839999993,5625.196012343656,597710.1453632825,288.1499999999952,7.000293433417322,212279.6122236648,297663.19664742955,8.293000000000001
-0.007778989378846258,0.0264912142649369,0.0037854117839999993,5623.554739868405,597534.9555863204,288.14999999999515,6.998238441827841,212279.9915333288,297663.6149341748,8.294
-0.007776702373099,0.026483437562563807,0.0037854117839999993,5621.913944034016,597359.8171639099,288.1499999999952,6.996184054401362,212280.37073181864,297664.0330996113,8.295
-0.007774416041865858,0.026475663146521944,0.0037854117839999993,5620.27362470336,597184.7300809846,288.1499999999952,6.994130270959697,212280.7498191668,297664.4511437739,8.296
-0.007772130384946523,0.026467891016136988,0.0037854117839999993,5618.633781739345,597009.6943224834,288.14999999999515,6.992077091324708,212281.128795406,297664.8690666974,8.297
-0.00776984540214074,0.026460121170734853,0.0037854117839999993,5616.994415004927,596834.70987335,288.1499999999952,6.9900245153183205,212281.5076605687,297665.2868684163,8.298
-0.007767561093248338,0.02645235360964161,0.0037854117839999993,5615.35552436309,596659.7767185312,288.14999999999515,6.987972542762501,212281.88641468753,297665.7045489657,8.299
-0.0077652774580691695,0.026444588332183532,0.0037854117839999993,5613.717109676859,596484.8948429789,288.1499999999952,6.98592117347927,212282.26505779504,297666.1221083802,8.3
-0.007762994496403182,0.026436825337687132,0.0037854117839999993,5612.079170809302,596310.0642316501,288.1499999999952,6.983870407290711,212282.6435899237,297666.5395466946,8.301
-0.007760712208050368,0.026429064625479087,0.0037854117839999993,5610.441707623524,596135.2848695049,288.14999999999515,6.981820244018951,212283.02201110616,297666.9568639437,8.302
-0.007758430592810786,0.026421306194886265,0.0037854117839999993,5608.804719982662,595960.5567415089,288.14999999999526,6.979770683486167,212283.40032137485,297667.3740601621,8.303
-0.007756149650484541,0.026413550045235785,0.0037854117839999993,5607.168207749905,595785.8798326319,288.1499999999952,6.977721725514603,212283.77852076234,297667.79113538464,8.304
-0.007753869380871815,0.026405796175854916,0.0037854117839999993,5605.532170788466,595611.2541278478,288.14999999999526,6.975673369926541,212284.156609301,297668.2080896459,8.305
-0.007751589783772843,0.026398044586071135,0.0037854117839999993,5603.896608961606,595436.6796121346,288.14999999999515,6.973625616544322,212284.5345870235,297668.6249229808,8.306000000000001
-0.0077493108589879135,0.026390295275212153,0.0037854117839999993,5602.261522132624,595262.1562704763,288.14999999999515,6.971578465190343,212284.9124539622,297669.0416354238,8.307
-0.007747032606317396,0.02638254824260584,0.0037854117839999993,5600.626910164854,595087.6840878596,288.14999999999515,6.969531915687048,212285.29021014963,297669.4582270097,8.308
-0.007744755025561695,0.02637480348758027,0.0037854117839999993,5598.992772921668,594913.2630492758,288.14999999999515,6.967485967856931,212285.6678556183,297669.8746977731,8.309000000000001
-0.007742478116521286,0.026367061009463753,0.0037854117839999993,5597.359110266482,594738.8931397224,288.14999999999526,6.9654406215225535,212286.04539040054,297670.2910477487,8.31
-0.007740201878996716,0.02635932080758476,0.0037854117839999993,5595.725922062751,594564.5743441989,288.14999999999526,6.963395876506514,212286.422814529,297670.70727697137,8.311
-0.007737926312788575,0.026351582881271977,0.0037854117839999993,5594.0932081739575,594390.3066477106,288.14999999999526,6.96135173263147,212286.80012803592,297671.1233854754,8.312
-0.007735651417697514,0.02634384722985427,0.0037854117839999993,5592.460968463629,594216.0900352665,288.14999999999526,6.959308189720127,212287.17733095377,297671.53937329556,8.313
-0.007733377193524256,0.026336113852660752,0.0037854117839999993,5590.82920279534,594041.9244918812,288.14999999999526,6.957265247595255,212287.554423315,297671.9552404665,8.314
-0.007731103640069582,0.026328382749020687,0.0037854117839999993,5589.197911032692,593867.8100025725,288.14999999999526,6.9552229060796655,212287.93140515205,297672.37098702294,8.315
-0.007728830757134317,0.026320653918263544,0.0037854117839999993,5587.567093039326,593693.7465523629,288.14999999999526,6.953181164996223,212288.30827649724,297672.7866129992,8.316
-0.007726558544519368,0.02631292735971903,0.0037854117839999993,5585.9367486789315,593519.7341262798,288.14999999999526,6.951140024167852,212288.68503738302,297673.2021184302,8.317
-0.007724287002025685,0.02630520307271701,0.0037854117839999993,5584.306877815225,593345.772709355,288.14999999999526,6.949099483417526,212289.06168784172,297673.6175033504,8.318
-0.007722016129454294,0.026297481056587545,0.0037854117839999993,5582.677480311964,593171.8622866231,288.14999999999526,6.947059542568263,212289.43822790578,297674.03276779427,8.319
-0.007719745926606253,0.026289761310660943,0.0037854117839999993,5581.048556032952,592998.0028431256,288.14999999999526,6.945020201443149,212289.8146576075,297674.44791179657,8.32
-0.007717476393282717,0.026282043834267663,0.0037854117839999993,5579.420104842022,592824.1943639067,288.1499999999952,6.94298145986531,212290.19097697924,297674.8629353915,8.321
-0.007715207529284878,0.02627432862673837,0.0037854117839999993,5577.792126603046,592650.4368340154,288.1499999999952,6.940943317657927,212290.56718605335,297675.27783861407,8.322000000000001
-0.007712939334413989,0.02626661568740396,0.0037854117839999993,5576.164621179944,592476.7302385056,288.1499999999952,6.938905774644243,212290.94328486215,297675.69262149837,8.323
-0.007710671808471374,0.026258905015595493,0.0037854117839999993,5574.537588436665,592303.0745624349,288.14999999999515,6.93686883064754,212291.31927343798,297676.10728407936,8.324
-0.007708404951258398,0.026251196610644238,0.0037854117839999993,5572.911028237199,592129.4697908659,288.14999999999526,6.934832485491159,212291.69515181324,297676.5218263914,8.325
-0.007706138762576512,0.026243490471881653,0.0037854117839999993,5571.284940445573,591955.915908864,288.14999999999515,6.932796738998491,212292.07092002014,297676.93624846893,8.326
