conservation_mdot [kg/s],conservation_tank.mass [kg],conservation_tank.volume [m^3],conservation_tank.inenergy [J],conservation_tank.pressure [Pa],conservation_tank.temperature [degK],conservation_tank.density [kg/m^3],conservation_tank.sp_inenergy [J/kg],conservation_tank.sp_enthalpy [J/kg],time [s]
-0.515508001358649,0.5392870327727132,0.0037854117839999993,61628.938146458546,6997539.004253785,193.9113782762316,142.4645622577037,114278.54630510382,163396.29806989676,0.61
-0.5085075408415861,0.5342019573642973,0.0037854117839999993,60798.055649317124,6887668.959448164,192.99766390546955,141.12122745066654,113810.99378461484,162617.7472679345,0.62
-0.5016471149777421,0.5291854862145199,0.0037854117839999993,59982.28841170573,6780268.203584393,192.09400978126564,139.7960159714344,113348.32487713062,161849.47962369976,0.63
-0.4949227773863264,0.5242362584406566,0.0037854117839999993,59181.2584719668,6675260.099893287,191.20020690543788,138.48856831282498,112890.43350034917,161091.2357847289,0.64
-0.4883307268565806,0.5193529511720908,0.0037854117839999993,58394.600469356985,6572571.082271242,190.3160526626527,137.1985350093925,112437.2169977476,160342.76556516698,0.65
-0.48186730079192686,0.5145342781641715,0.0037854117839999993,57621.961112912984,6472130.505270513,189.44135056915619,135.92557627124765,111988.57599634529,159603.82753925573,0.66
-0.4755289690032473,0.509778988474139,0.0037854117839999993,56862.99867732584,6373870.502684158,188.575910033502,134.66936163427422,111544.4142716182,158874.18865633593,0.67
-0.4693123278299486,0.5050858651958395,0.0037854117839999993,56117.382524221845,6277725.8541632425,187.71954612860708,133.42956962587604,111104.63861914481,158153.62387605145,0.68
-0.46321409456893947,0.5004537242501501,0.0037854117839999993,55384.79264735643,6183633.859344978,186.872079374506,132.20588744544105,110669.15873259149,157441.915822527,0.6900000000000001
-0.4572311021930038,0.49588141322822005,0.0037854117839999993,54664.919240327305,6091534.219008481,186.03333553121743,130.998010658758,110237.88708767112,156738.8544563784,0.7000000000000001
-0.4513602943413014,0.491367810284807,0.0037854117839999993,53957.46228550581,6001368.922809754,185.20314540117076,129.80564290566682,109810.73883173369,156044.23676349237,0.71
