volume [m^3],pressure [Pa],temp [degK],liq_sp_intenergy [J/kg],liquid_sat_density [kg/m^3],vapor_sat_sp_inenergy [J/kg],vapor_sat_density [kg/m^3],x [-],total_mass [kg],total_inenergy [J],total_mdot [kg/s],total_inenergy_dot [J/s],time [s]
0.008963947725436136,4510356.143201672,288.21317818249577,195696.13245889475,820.2892517298731,356039.05269590864,134.465851297199,0.035131356596956174,6.235702506977221,1255428.9770110506,-0.5092517011432156,-102460.45525472108,1.832
0.008963947725436136,4510215.761518961,288.2118427827644,195692.93050627215,820.2981489974825,356039.8831188547,134.46015889338213,0.03515051056287522,6.23519327332559,1255326.5219354397,-0.5092336516302218,-102455.07561098157,1.833
0.008963947725436136,4510075.385034127,288.2105074010943,195689.72865126457,820.3070458535619,356040.71344999905,134.4544668827795,0.035169664755466734,6.234684057722495,1255224.0722390949,-0.5092156030950986,-102449.69634480031,1.834
0.008963947725436136,4509935.013746437,288.2091720374809,195686.52689385356,820.3159422981832,356041.54368935485,134.44877526532866,0.03518881917513845,6.2341748601669575,1255121.6279216388,-0.5091975555377052,-102444.31745612365,1.835
0.008963947725436136,4509794.64765523,288.20783669191985,195683.3252340208,820.3248383314175,356042.37383693695,134.44308404096503,0.03520797382229788,6.2336656806579995,1255019.188982694,-0.5091795089578951,-102438.93894489435,1.836
0.008963947725436136,4509654.286759877,288.2065013644068,195680.12367174792,820.333733953337,356043.2038927587,134.43739320962607,0.035227128697352644,6.233156519194644,1254916.755421883,-0.5091614633555218,-102433.56081105731,1.837
0.008963947725436136,4509513.931059676,288.20516605493714,195676.92220701696,820.3426291640119,356044.03385683434,134.4317027712492,0.03524628380070765,6.2326473757759135,1254814.3272388284,-0.509143418730441,-102428.18305455687,1.838
0.008963947725436136,4509373.580553941,288.2038307635067,195673.72083980864,820.3515239635155,356044.86372917774,134.42601272576994,0.03526543913277625,6.232138250400831,1254711.904433153,-0.5091253750825079,-102422.80567533753,1.839
0.008963947725436136,4509233.235242028,288.2024954901106,195670.51957010556,820.3604183519177,356045.69350980246,134.42032307312658,0.03528459469395988,6.231629143068419,1254609.4870044799,-0.5091073324115772,-102417.42867334295,1.84
0.008963947725436136,4509092.895123253,288.2011602347448,195667.31839788874,820.369312329292,356046.5231987229,134.4146338132548,0.03530375048466973,6.231120053777702,1254507.0749524313,-0.509089290717501,-102412.05204851726,1.841
0.008963947725436136,4508952.560196889,288.1998249974047,195664.11732314006,820.3782058957084,356047.3527959529,134.40894494609205,0.0353229065053122,6.230610982527702,1254404.6682766303,-0.5090712500001365,-102406.67580080511,1.842
0.008963947725436136,4508812.230462406,288.19848977808596,195660.91634584143,820.3870990512377,356048.18230150617,134.40325647157513,0.03534206275629361,6.230101929317443,1254302.2669767002,-0.5090532102593314,-102401.29993014844,1.843
0.008963947725436136,4508671.90591901,288.19715457678393,195657.71546597403,820.3959917959527,356049.0117153963,134.3975683896411,0.03536121923802432,6.229592894145948,1254199.8710522638,-0.509035171494953,-102395.92443649632,1.844
0.008963947725436136,4508531.586566137,288.1958193934945,195654.51468351975,820.4048841299248,356049.8410376382,134.39188070022632,0.03538037595091013,6.229083877012241,1254097.480502944,-0.5090171337068445,-102390.54931978881,1.845
0.008963947725436136,4508391.272402987,288.1944842282128,195651.31399846083,820.4137760532228,356050.67026824434,134.38619340326977,0.03539953289535555,6.228574877915346,1253995.095328364,-0.5089990968948698,-102385.17457997325,1.846
0.008963947725436136,4508250.963428998,288.1931490809348,195648.11341077794,820.4226675659223,356051.4994072301,134.38050649870485,0.03541869007177372,6.228065896854287,1253892.715528147,-0.5089810610588725,-102379.80021699003,1.847
0.008963947725436136,4508110.659643449,288.1918139516559,195644.91292045303,820.431558668092,356052.3284546085,134.37481998647073,0.03543784748057071,6.227556933828088,1253790.3411019163,-0.5089630261987196,-102374.42623078782,1.848
0.008963947725436136,4507970.361045733,288.19047884037167,195641.7125274683,820.4404493598039,356053.1574103935,134.3691338665047,0.035457005122150886,6.227047988835773,1253687.972049295,-0.5089449923142562,-102369.05262130797,1.849
0.008963947725436136,4507830.06763502,288.1891437470775,195638.51223180495,820.4493396411293,356053.9862745993,134.36344813874265,0.035476162996924715,6.226539061876368,1253585.6083699064,-0.5089269594053452,-102363.67938849686,1.85
0.008963947725436136,4507689.77941085,288.1878086717694,195635.31203344467,820.4582295121401,356054.8150472395,134.35776280312206,0.03549532110529986,6.226030152948896,1253483.2500633742,-0.5089089274718297,-102358.30653229504,1.851
0.008963947725436136,4507549.496372398,288.18647361444255,195632.1119323695,820.4671189729064,356055.64372832794,134.35207785958073,0.035514479447681664,6.225521262052382,1253380.8971293215,-0.5088908965135799,-102352.9340526524,1.852
0.008963947725436136,4507409.218519101,288.1851385750925,195628.91192856047,820.4760080235018,356056.4723178786,134.34639330805385,0.03553363802448165,6.225012389185852,1253278.549567372,-0.5088728665304393,-102347.56194950888,1.853
0.008963947725436136,4507268.9458502345,288.18380355371517,195625.71202199976,820.4848966639958,356057.3008159057,134.3407091484796,0.03555279683610447,6.2245035343483295,1253176.2073771493,-0.5088548375222661,-102342.19022281116,1.854
0.008963947725436136,4507128.678365126,288.1824685503059,195622.51221266904,820.4937848944594,356058.1292224227,134.33502538079435,0.03557195588295795,6.22399469753884,1253073.8705582768,-0.5088368094889177,-102336.8188725031,1.855
0.008963947725436136,4506988.416063102,288.18113356486015,195619.31250054998,820.502672714965,356058.9575374435,134.32934200493656,0.035591115165449494,6.22348587875641,1252971.5391103781,-0.5088187824302469,-102331.44789852882,1.856
0.008963947725436136,4506848.158943543,288.1797985973736,195616.11288562417,820.5115601255835,356059.7857609818,134.3236590208426,0.03561027468398768,6.222977078000064,1252869.2130330773,-0.508800756346107,-102326.07730083233,1.857
0.008963947725436136,4506707.907005718,288.17846364784185,195612.91336787364,820.520447126385,356060.6138930518,134.31797642844919,0.035629434438978334,6.222468295268828,1252766.892325998,-0.5087827312363561,-102320.70707935898,1.858
0.008963947725436136,4506567.660248995,288.17712871626037,195609.7139472796,820.529333717443,356061.4419336673,134.3122942276936,0.03564859443083185,6.221959530561727,1252664.576988764,-0.5087647071008464,-102315.33723405233,1.859
0.008963947725436136,4506427.418672726,288.1757938026249,195606.51462382387,820.5382198988276,356062.2698828419,134.30661241851303,0.03566775465995508,6.2214507838777875,1252562.2670209992,-0.5087466839394343,-102309.96776485695,1.86
0.008963947725436136,4506287.182276193,288.174458906931,195603.31539748848,820.5471056706091,356063.0977405899,134.3009310008448,0.03568691512675405,6.220942055216035,1252459.9624223276,-0.5087286617519781,-102304.59867171879,1.861
0.008963947725436136,4506146.951058732,288.17312402917395,195600.11626825505,820.5559910328595,356063.9255069248,134.29524997462542,0.035706075831636395,6.220433344575497,1252357.663192373,-0.5087106405383285,-102299.22995458054,1.862
