isenthalpic_mdot [kg/s],isenthalpic_tank.mass [kg],isenthalpic_tank.volume [m^3],isenthalpic_tank.inenergy [J],isenthalpic_tank.pressure [Pa],isenthalpic_tank.temperature [degK],isenthalpic_tank.density [kg/m^3],isenthalpic_tank.sp_inenergy [J/kg],isenthalpic_tank.sp_enthalpy [J/kg],time [s]
-0.787736831432585,0.6250974216650261,0.0037854117839999993,109696.67011120357,13581130.038755495,277.21495450679475,165.1332688050369,175487.3181511653,257730.7699827277,0.41000000000000003
-0.7761675899354602,0.6173357457656715,0.0037854117839999993,108435.34290800325,13385881.662920017,276.95935777143217,163.0828509529656,175650.5170027254,257730.7699827314,0.42
-0.7648247736563215,0.6096874980291083,0.0037854117839999993,107189.0621938474,13194381.211880863,276.7051166378408,161.06239765145412,175809.8411733053,257730.76998273507,0.43
-0.7537021268989108,0.6021504767601191,0.0037854117839999993,105957.6531669327,13006524.960383572,276.4522602987827,159.07132727415825,175965.40608427257,257730.76998273883,0.44
-0.7427936247160098,0.594722540512959,0.0037854117839999993,104740.94168260433,12822213.111674918,276.20081578677764,157.10907411096048,176117.322864984,257730.7699827428,0.45
-0.7320934624321376,0.5874016058886377,0.0037854117839999993,103538.75438982846,12641349.611477861,275.9508080966368,155.17508778607368,176265.69854740545,257730.76998274683,0.46
-0.7215960457230034,0.5801856454314076,0.0037854117839999993,102350.91885386471,12463841.972366856,275.7022603004795,153.26883270235197,176410.636250333,257730.76998275094,0.47000000000000003
-0.7112959812180626,0.573072685619227,0.0037854117839999993,101177.2636663072,12289601.107878212,275.4551936557373,151.3897875104272,176552.23535384747,257730.76998275536,0.48
-0.7011880675947929,0.566060804943279,0.0037854117839999993,100017.6185435642,12118541.17573799,275.2096277066152,149.5374446013716,176690.5916645938,257730.76998275964,0.49
-0.6912672871354012,0.559148132071925,0.0037854117839999993,98871.8144147571,11950579.429633962,274.9655803794468,147.7113096216655,176825.7975724381,257730.769982764,0.5
-0.6815287977186348,0.5523328440947387,0.0037854117839999993,97739.68349993393,11785636.078998262,274.7230680723455,145.91090100932036,176957.94219901427,257730.76998276863,0.51
-0.6719679252211623,0.5456131648425271,0.0037854117839999993,96621.05937942024,11623634.156305045,274.4821057395295,144.13574955007516,177087.11153864235,257730.76998277323,0.52
-0.6625801563046708,0.5389873632794804,0.0037854117839999993,95515.7770550598,11464499.391421538,274.24270697066737,142.38539795264728,177213.3885920664,257730.76998277789,0.53
-0.6533611315663741,0.5324537519638166,0.0037854117839999993,94423.67300403431,11308160.092582861,274.00488406556826,140.65940044207795,177336.85349342972,257730.76998278266,0.54
-0.6443066390320688,0.526010685573496,0.0037854117839999993,93344.58522589596,11154547.033590345,273.7686481045189,138.95732237026715,177457.58363088148,257730.7699827876,0.55
-0.6354126079722161,0.5196565594937738,0.0037854117839999993,92278.35328339123,11003593.34686002,273.53400901454506,137.2787398428445,177575.65376117773,257730.76998279244,0.56
-0.6266751030227579,0.5133898084635462,0.0037854117839999993,91224.81833760989,10855234.42197347,273.300975631861,135.62323936157173,177691.13611862322,257730.7699827975,0.5700000000000001
-0.6180903185935581,0.5072089052776106,0.0037854117839999993,90183.8231779457,10709407.809406055,273.06955576074597,133.99041748151612,177804.10051867168,257730.7699828027,0.58
-0.6096545735484041,0.5011123595421266,0.0037854117839999993,89155.21224731799,10566053.12912926,272.83975622907576,132.379880482278,177914.61445648706,257730.76998280786,0.59
-0.6013643061415282,0.49509871648071135,0.0037854117839999993,88138.83166306495,10425111.983803999,272.6115829407181,130.79124405259458,178022.74320074666,257730.769982813,0.6
-0.5932160691965325,0.489166555788746,0.0037854117839999993,87134.52923388651,10286527.876299929,272.38504092498874,129.22413298767975,178128.54988295006,257730.76998281837,0.61
-0.5852065255144681,0.4833144905336013,0.0037854117839999993,86142.15447318331,10150246.131293261,272.1601343833503,127.67818089869438,178232.09558248176,257730.76998282378,0.62
-0.5773324434986358,0.47754116609861497,0.0037854117839999993,85161.55860911026,10016213.82071124,271.9368667335229,126.15302993377459,178333.43940765917,257730.7699828294,0.63
-0.5695906929844191,0.4718452591687708,0.0037854117839999993,84192.59459163745,9884379.692806538,271.7152406511675,124.64833051007665,178432.63857298443,257730.76998283484,0.64
-0.5619782412631834,0.46622547675613896,0.0037854117839999993,83235.11709688729,9754694.104658403,271.4952581092893,123.16374105632548,178529.74847280546,257730.76998284043,0.65
-0.554492149289912,0.4606805552632398,0.0037854117839999993,82288.98252899456,9627108.95791022,271.27692041549886,121.6989277653815,178624.8227515776,257730.769982846,0.66
-0.547129568064883,0.45520925958259095,0.0037854117839999993,81354.0490197158,9501577.63756493,271.0602282472595,120.25356435636621,178717.9133709061,257730.76998285166,0.67
-0.5398877351802525,0.44981038223078845,0.0037854117839999993,80430.17642599794,9378054.953671213,270.8451816852448,118.82733184591062,178809.0706735419,257730.76998285743,0.68
