isentropic_mdot [kg/s],isentropic_tank.mass [kg],isentropic_tank.volume [m^3],isentropic_tank.inenergy [J],isentropic_tank.pressure [Pa],isentropic_tank.temperature [degK],isentropic_tank.density [kg/m^3],isentropic_tank.sp_inenergy [J/kg],isentropic_tank.sp_enthalpy [J/kg],time [s]
-0.003599511217711913,0.02222000695245867,0.0037854117839999993,1529.4774357203682,160844.13884681693,95.80106203773327,5.869904840043335,68833.34640681243,96234.83641897922,12.183
-0.0035985725751011923,0.022216408379883566,0.0037854117839999993,1529.1311388129375,160807.81270423374,95.79480703494083,5.868954197740609,68828.90846557941,96228.64737752057,12.184000000000001
-0.003597633841663118,0.022212810746041905,0.0037854117839999993,1528.784954505531,160771.49837530917,95.78855307229081,5.868003803425025,68824.47124697827,96222.45934669119,12.185
-0.003596695017396844,0.02220921405102451,0.0037854117839999993,1528.4388827916691,160735.19585935227,95.78230015025241,5.867053657120573,68820.03475134962,96216.27232696395,12.186
-0.0035957561023016197,0.022205618294922208,0.0037854117839999993,1528.0929236648176,160698.90515566652,95.77604826929176,5.866103758851249,68815.59897903175,96210.08631880836,12.187
-0.003594817096376614,0.022202023477825825,0.0037854117839999993,1527.7470771184453,160662.62626355563,95.7697974298753,5.865154108641045,68811.1639303632,96203.90132269423,12.188
-0.003593877999621011,0.022198429599826205,0.0037854117839999993,1527.4013431460646,160626.35918232804,95.76354763247215,5.864204706513961,68806.7296056845,96197.7173390943,12.189
-0.0035929388120340953,0.022194836661014173,0.0037854117839999993,1527.0557217411451,160590.10391128765,95.75729887754912,5.863255552493989,68802.29600533441,96191.53436847877,12.19
-0.0035919995336150734,0.022191244661480553,0.0037854117839999993,1526.710212897171,160553.8604497397,95.75105116557393,5.8623066466051235,68797.86312965251,96185.35241131893,12.191
-0.0035910601643631894,0.022187653601316193,0.0037854117839999993,1526.364816607621,160517.62879698927,95.7448044970142,5.8613579888713625,68793.43097897813,96179.17146808581,12.192
-0.0035901207042777056,0.02218406348061192,0.0037854117839999993,1526.0195328659784,160481.40895234162,95.73855887233793,5.860409579316701,68788.99955365098,96172.99153925091,12.193
-0.0035891811533578888,0.022180474299458557,0.0037854117839999993,1525.6743616657095,160445.20091510034,95.73231429201232,5.859461417965132,68784.56885401014,96166.81262528487,12.194
-0.0035882415116029916,0.022176886057946956,0.0037854117839999993,1525.3293030003233,160409.00468457365,95.72607075650713,5.858513504840656,68780.13888039663,96160.63472666105,12.195
-0.003587301779012358,0.022173298756167945,0.0037854117839999993,1524.9843568632882,160372.82026006526,95.71982826628992,5.8575658399672665,68775.7096331498,96154.45784385048,12.196
-0.0035863619555852747,0.022169712394212355,0.0037854117839999993,1524.6395232480947,160336.64764088133,95.7135868218297,5.8566184233689595,68771.28111261013,96148.28197732572,12.197000000000001
-0.0035854220413210703,0.022166126972171036,0.0037854117839999993,1524.2948021482025,160300.4868263248,95.70734642359372,5.855671255069733,68766.85331911672,96142.10712755751,12.198
-0.003584482036219037,0.02216254249013482,0.0037854117839999993,1523.950193557094,160264.3378157012,95.70110707205092,5.854724335093585,68762.42625300991,96135.93329501814,12.199
-0.0035835419402785182,0.022158958948194536,0.0037854117839999993,1523.6056974682526,160228.20060831588,95.69486876767024,5.853777663464509,68757.99991463014,96129.76048018024,12.200000000000001
-0.0035826017534988756,0.02215537634644104,0.0037854117839999993,1523.2613138751606,160192.07520347426,95.68863151092077,5.852831240206506,68753.57430431787,96123.58868351638,12.201
-0.003581661475879469,0.022151794684965163,0.0037854117839999993,1522.91704277129,160155.96160048057,95.6823953022711,5.851885065343572,68749.14942241326,96117.41790549865,12.202
-0.0035807211074196654,0.022148213963857747,0.0037854117839999993,1522.5728841501202,160119.85979863998,95.67616014219048,5.850939138899704,68744.7252692569,96111.24814659984,12.203
-0.0035797806481188497,0.022144634183209624,0.0037854117839999993,1522.2288380051268,160083.76979725715,95.66992603114801,5.849993460898897,68740.30184518931,96105.07940729264,12.204
-0.0035788400979764106,0.02214105534311165,0.0037854117839999993,1521.8849043297864,160047.69159563704,95.66369296961301,5.849048031365154,68735.87915055112,96098.91168804975,12.205
-0.003577899456991762,0.02213747744365466,0.0037854117839999993,1521.5410831175732,160011.62519308398,95.65746095805471,5.84810285032247,68731.45718568299,96092.7449893441,12.206
-0.0035769587251643074,0.02213390048492949,0.0037854117839999993,1521.1973743619562,159975.57058890228,95.65122999694242,5.847157917794841,68727.03595092549,96086.5793116484,12.207
-0.0035760179024934714,0.022130324467027,0.0037854117839999993,1520.853778056414,159939.527782397,95.64500008674588,5.846213233806271,68722.61544661963,96080.41465543598,12.208
-0.0035750769889786975,0.022126749390038024,0.0037854117839999993,1520.5102941944444,159903.49677287505,95.6387712279362,5.845268798380754,68718.19567310748,96074.25102118167,12.209
-0.0035741359846194775,0.0221231752540534,0.0037854117839999993,1520.1669227695154,159867.4775596408,95.63254342098304,5.84432461154229,68713.77663072984,96068.08840935855,12.21
-0.003573194889415272,0.02211960205916399,0.0037854117839999993,1519.8236637750902,159831.47014199742,95.62631666635565,5.843380673314877,68709.35831982738,96061.9268204394,12.211
-0.003572253703365525,0.022116029805460624,0.0037854117839999993,1519.480517204627,159795.474519248,95.62009096452321,5.842436983722516,68704.94074074068,96055.76625489697,12.212
-0.0035713124264696947,0.02211245849303415,0.0037854117839999993,1519.1374830516138,159759.49069069882,95.613866315957,5.841493542789202,68700.52389381178,96049.60671320609,12.213000000000001
-0.003570371058727308,0.022108888121975423,0.0037854117839999993,1518.7945613095042,159723.51865565224,95.6076427211261,5.840550350538938,68696.10777938119,96043.44819583934,12.214
-0.0035694296001378394,0.022105318692375288,0.0037854117839999993,1518.45175197181,159687.55841341708,95.60142018050335,5.8396074069957224,68691.69239779223,96037.29070327333,12.215
-0.0035684880507008843,0.02210175020432458,0.0037854117839999993,1518.1090550319727,159651.60996329456,95.5951986945576,5.838664712183552,68687.27774938516,96031.13423598034,12.216000000000001
-0.003567546410415913,0.02209818265791417,0.0037854117839999993,1517.7664704834765,159615.67330459054,95.58897826376023,5.8377222661264305,68682.86383450219,96024.97879443536,12.217
-0.0035666046792824993,0.02209461605323489,0.0037854117839999993,1517.4239983197888,159579.74843660896,95.58275888858185,5.836780068848355,68678.45065348495,96018.82437911264,12.218
