run_time [s],time [s],state [-],ox_l1 [lbf]
46.076000,2.152000,1,0.000000
46.083000,2.159000,1,0.000000
46.089001,2.165001,1,0.000000
46.096001,2.172001,1,-1.000000
46.102001,2.178001,1,0.000000
46.109001,2.185001,1,0.000000
46.115002,2.191002,1,0.000000
46.122002,2.198002,1,0.000000
46.127998,2.203999,1,0.000000
46.134998,2.210999,1,0.000000
46.140999,2.216999,1,0.000000
46.146999,2.223000,1,0.000000
46.153999,2.230000,1,0.000000
46.160000,2.236000,1,0.000000
46.167000,2.243000,1,0.000000
46.173000,2.249001,1,0.000000
46.180000,2.256001,1,0.000000
46.186001,2.262001,1,-1.000000
46.193001,2.269001,1,-1.000000
46.199001,2.275002,1,0.000000
46.206001,2.282001,1,0.000000
46.212002,2.288002,1,-1.000000
46.217999,2.293999,1,0.000000
